Academic_Reputation,Citations_per_Pape,Employer_Reputation,H_index_Citations,Overall_score,Ranking,Region,University_Name
79.3,84,79.2,82.7,80.9,25,United States,Cornell University
,,,,,26,,
78.8,85.4,80.1,78.9,80.4,27,Canada,University of British Columbia
84.5,82.4,82.2,67.4,80.2,28,Hong Kong,The Hong Kong University of Science and Technology
84.6,74.5,91.7,64,79.9,29,Japan,The University of Tokyo
,,,,,30,,
81.9,75.9,91.5,66.1,79.5,31,China,Peking University
77.6,79.8,87.3,75.2,79.5,31,Australia,The University of New South Wales (UNSW Sydney)
77.9,92.6,67.4,80.4,79.2,33,United States,Brown University
78.4,81.9,83.2,73.4,79.1,34,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
79,82.4,83.9,70.8,79,35,Hong Kong,The University of Hong Kong
81.2,82.9,76.1,70.8,78.4,36,United States,California Institute of Technology (Caltech)
76.8,79.5,90.2,68,78.3,37,China,Tsinghua University
77.6,84.3,79.9,70.8,78,38,Hong Kong,The Chinese University of Hong Kong (CUHK)
86,83,63.4,71.4,78,38,Spain,Universitat Pompeu Fabra
82.3,84.6,67.1,72.9,77.8,40,Sweden,Stockholm School of Economics
76.4,86.9,68.1,81.1,77.8,40,United States,University of Wisconsin-Madison
76.1,85.5,74.6,76.1,77.7,42,United States,Boston University
82.6,85.6,58.4,78.5,77.5,43,United States,University of Minnesota
73.9,86.7,73.9,79.3,77.5,43,Switzerland,University of Zurich
75.8,77.3,85.7,72.4,77.4,45,Australia,蒙纳士大学Monash University
78.5,78.2,86.5,63.3,77,46,South Korea,Seoul National University
69.5,80.3,88.1,75.7,76.6,47,Australia,悉尼大学The University of Sydney
79,85.2,57.2,80.7,76.2,48,Netherlands,Tilburg University
76.5,82.4,66.3,78.9,76.1,49,Netherlands,University of Amsterdam
76.7,80.3,71.3,73.4,75.7,50,Netherlands,Erasmus University Rotterdam
79.6,79.7,72.1,67.4,75.7,50,Spain,Universidad Carlos III de Madrid (UC3M)
100,93.2,77,95,94.8,1,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
89.9,93.7,100,97.2,93.7,2,United States,Harvard University
94.9,90.4,97.4,92,93.3,3,United States,Massachusetts Institute of Technology (MIT)
91.6,92.9,90,96.2,92.9,4,United States,"University of California, Berkeley (UCB)"
,,,,,5,,
,,,,,6,,
89.5,91,82.6,100,91.8,7,United States,California Institute of Technology (Caltech)
88.8,91.7,95.1,91.8,90.9,8,United States,Stanford University
89,90.8,82.3,89.9,89,9,Australia,澳大利亚国立大学The Australian National University
83.3,95.3,77.7,95.4,88.8,10,United States,Columbia University
87,94.7,60.3,97.2,88.8,10,United States,University of Washington
84.9,92.5,86.2,90.6,88.4,12,United States,"University of California, Los Angeles (UCLA)"
87.5,85.7,88.3,92,88.3,13,Japan,The University of Tokyo
,,,,,14,,
86.7,92.1,75,90.1,87.7,15,Canada,University of British Columbia
,,,,,16,,
79.7,94,84.2,92.2,86.9,17,Canada,University of Toronto
80.3,95.7,79.2,91.7,86.9,17,United States,Yale University
77.7,97.4,78.3,94.2,86.8,19,United States,Princeton University
84.2,94.4,66.3,91.2,86.7,20,Netherlands,Utrecht University
86.9,92.4,51.6,93,86.3,21,United States,"University of California, San Diego (UCSD)"
84.3,89.8,76.8,89.9,86.3,21,United States,University of Texas at Austin
,,,,,23,,
,,,,,24,,
77.7,93.6,82.1,89.4,85,25,Hong Kong,The University of Hong Kong
76.7,93.5,57,98.1,84.3,26,United States,University of Colorado Boulder
81.3,91.6,51.9,94.1,84.1,27,United States,The University of Arizona
76.2,87.4,91.7,89.5,83.9,28,China,Peking University
,,,,,29,,
77.3,88.9,96.7,83.8,83.8,29,Australia,墨尔本大学The University of Melbourne
80.2,90.8,73.3,86.6,83.8,29,United States,"University of California, Davis"
75,90.4,79.9,91.5,83.5,32,United States,Pennsylvania State University
77.1,87.2,89.7,87.4,83.5,32,Australia,西澳大学The University of Western Australia
,,,,,34,,
77.7,89.4,82.4,85.7,83.1,35,Canada,McGill University
93,79.4,72.3,74.3,82.9,36,United States,Colorado School of Mines
,,,,,36,,
77.7,91.4,74.5,85.2,82.7,38,Norway,University of Bergen
75.7,90.6,71.3,88.2,82.1,39,Norway,University of Oslo
81.5,81.4,79,84.3,81.9,40,Netherlands,Delft University of Technology
77.3,84.6,80.2,87.2,81.9,40,United States,Texas A&M University
72.7,87.8,89.2,87.4,81.8,42,Australia,科廷大学Curtin University
77.4,88.2,74.7,85.2,81.8,42,Australia,塔斯马尼亚大学The University of Tasmania
75.7,94.4,54.6,89.5,81.7,44,United States,"University of California, Santa Barbara (UCSB)"
76.7,86,81.6,84.1,81.4,45,Taiwan,National Taiwan University (NTU)
71,88.4,91.4,87.2,81.4,45,Australia,The University of New South Wales (UNSW Sydney)
75.2,89.4,69.7,86.6,81.1,47,Denmark,University of Copenhagen
73.3,88.1,74.4,88.4,80.9,48,United States,University of Michigan
70.6,88.4,97.7,82.8,80.8,49,Australia,蒙纳士大学Monash University
72.3,91.8,62.4,90.6,80.8,49,United States,University of Wisconsin-Madison
,,,,,1,,
88.4,95.7,100,82.9,89.8,2,United States,Harvard University
,,,,,3,,
,,,,,4,,
,,,,,5,,
85.3,97.2,86.1,89.6,87.8,6,United States,"University of California, Berkeley (UCB)"
,,,,,7,,
81.5,100,90.7,89.6,86.4,8,United States,Stanford University
84.2,86.2,83.2,87.1,84.8,9,Australia,澳大利亚国立大学The Australian National University
81.9,88.9,68.3,87.1,82.4,10,Denmark,University of Copenhagen
79.7,90.7,82.7,82.9,82.1,11,South Africa,University of Cape Town
,,,,,12,,
77.7,91.6,54.6,92,79.6,13,Netherlands,Wageningen University
,,,,,14,,
68.7,97.5,67.9,97.2,77.2,15,Canada,University of Toronto
72.5,87.5,82.9,76.5,76.4,16,Australia,墨尔本大学The University of Melbourne
